,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,11,0.5117501611414308,33,16,62,1,45,smooth
1,1,12,0.4044416970377967,24,16,62,1,45,smooth
2,2,13,0.6368547507086848,41,16,62,1,45,smooth
3,3,14,0.9323734493858715,59,16,62,1,45,smooth
4,4,15,1.0,62,16,62,1,45,smooth
5,5,16,0.8213307932327865,50,16,62,1,45,smooth
6,6,17,0.5289522702803197,34,16,62,1,45,smooth
7,7,15,1.0,62,16,62,1,45,smooth
8,8,14,0.9323734493858715,58,16,62,1,45,smooth
9,9,15,1.0,62,16,62,1,45,smooth
10,10,14,0.9323734493858715,58,16,62,1,45,smooth
