,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,18,0.4199793497051235,32,0,76,0.8,13,smooth
1,1,19,0.16885204124776204,13,0,76,0.8,13,smooth
2,2,17,0.6118417283169145,47,0,76,0.8,13,smooth
3,3,16,0.6200652170459323,46,0,76,0.8,13,smooth
4,4,15,0.5643679317568718,43,0,76,0.8,13,smooth
5,5,14,0.6125632037580412,46,0,76,0.8,13,smooth
6,6,13,0.7635794406028203,58,0,76,0.8,13,smooth
7,7,12,0.9181612413089759,70,0,76,0.8,13,smooth
8,8,11,1.0,77,0,76,0.8,13,smooth
9,9,10,0.9224195494889865,69,0,76,0.8,13,smooth
10,10,9,0.627919182869412,47,0,76,0.8,13,smooth
