,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,10,0.0,0,5,65,0.2,76,smooth
1,1,11,0.10694197164535878,8,5,65,0.2,76,smooth
2,2,12,0.4046225766933707,25,5,65,0.2,76,smooth
3,3,13,0.6713885047383006,45,5,65,0.2,76,smooth
4,4,14,0.8066510885903005,52,5,65,0.2,76,smooth
5,5,15,0.9278332348267991,60,5,65,0.2,76,smooth
6,6,16,1.0,64,5,65,0.2,76,smooth
7,7,17,0.9212342456286512,60,5,65,0.2,76,smooth
8,8,18,0.8434482639098503,55,5,65,0.2,76,smooth
9,9,19,0.8594161732966201,53,5,65,0.2,76,smooth
10,10,20,0.7681408314549177,49,5,65,0.2,76,smooth
