,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,6,0.34761961630896226,26,36,78,0.6,65,smooth
1,1,7,0.24962429237364994,20,36,78,0.6,65,smooth
2,2,8,0.3841351757692955,28,36,78,0.6,65,smooth
3,3,9,0.6509396239863302,50,36,78,0.6,65,smooth
4,4,10,0.8419132415680805,65,36,78,0.6,65,smooth
5,5,11,0.9439160664377791,73,36,78,0.6,65,smooth
6,6,12,1.0,79,36,78,0.6,65,smooth
7,7,13,0.9310868035614035,73,36,78,0.6,65,smooth
8,8,14,0.7153738460737423,57,36,78,0.6,65,smooth
9,9,15,0.5627487657911455,43,36,78,0.6,65,smooth
10,10,16,0.6535110178599335,50,36,78,0.6,65,smooth
