,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,8,0.24047814360533465,17,0,70,0.2,78,smooth
1,1,9,0.627919182869412,43,0,70,0.2,78,smooth
2,2,10,0.9224195494889865,64,0,70,0.2,78,smooth
3,3,11,1.0,69,0,70,0.2,78,smooth
4,4,12,0.9181612413089759,64,0,70,0.2,78,smooth
5,5,13,0.7635794406028203,53,0,70,0.2,78,smooth
6,6,14,0.6125632037580412,42,0,70,0.2,78,smooth
7,7,11,1.0,72,0,70,0.2,78,smooth
8,8,12,0.9181612413089759,63,0,70,0.2,78,smooth
9,9,11,1.0,69,0,70,0.2,78,smooth
10,10,12,0.9181612413089759,64,0,70,0.2,78,smooth
