,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,6,0.46541595108087874,36,36,77,0,51,rough
1,1,7,0.6435586453122651,50,36,77,0,51,rough
2,2,8,0.6146341535903143,47,36,77,0,51,rough
3,3,9,0.6924734701156648,53,36,77,0,51,rough
4,4,10,0.9138153375049988,70,36,77,0,51,rough
5,5,11,0.7420720550611297,57,36,77,0,51,rough
6,6,10,0.9138153375049988,70,36,77,0,51,rough
7,7,9,0.6924734701156648,53,36,77,0,51,rough
8,8,8,0.6146341535903143,46,36,77,0,51,rough
9,9,7,0.6435586453122651,48,36,77,0,51,rough
10,10,6,0.46541595108087874,37,36,77,0,51,rough
