,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,28,0.21995781710316642,14,35,66,0,40,smooth
1,1,27,0.4537478736980271,28,35,66,0,40,smooth
2,2,26,0.5968639856253268,39,35,66,0,40,smooth
3,3,25,0.6664760642684788,43,35,66,0,40,smooth
4,4,24,0.6844862778721135,45,35,66,0,40,smooth
5,5,23,0.7514320756981244,48,35,66,0,40,smooth
6,6,22,0.905066361769084,59,35,66,0,40,smooth
7,7,21,1.0,67,35,66,0,40,smooth
8,8,20,0.9572269343427956,64,35,66,0,40,smooth
9,9,19,0.8566402350113845,57,35,66,0,40,smooth
10,10,18,0.7525030165275046,50,35,66,0,40,smooth
