,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,19,0.46821806831579105,35,25,76,0.6,52,smooth
1,1,20,0.23436653004093735,19,25,76,0.6,52,smooth
2,2,18,0.6022751294206893,47,25,76,0.6,52,smooth
3,3,17,0.57992032257058,45,25,76,0.6,52,smooth
4,4,16,0.4960555805380899,38,25,76,0.6,52,smooth
5,5,21,0.05903060443835843,4,25,76,0.6,52,smooth
6,6,15,0.45671478969019946,35,25,76,0.6,52,smooth
7,7,14,0.4865009995963233,37,25,76,0.6,52,smooth
8,8,13,0.5338924283838866,40,25,76,0.6,52,smooth
9,9,12,0.5522743791946265,42,25,76,0.6,52,smooth
10,10,11,0.573711095576146,44,25,76,0.6,52,smooth
