,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,7,0.6620576666663932,53,24,77,1,49,smooth
1,1,8,0.9068470642522731,70,24,77,1,49,smooth
2,2,9,1.0,77,24,77,1,49,smooth
3,3,10,0.922082235799452,71,24,77,1,49,smooth
4,4,11,0.751695372131809,58,24,77,1,49,smooth
5,5,9,1.0,78,24,77,1,49,smooth
6,6,8,0.9068470642522731,69,24,77,1,49,smooth
7,7,9,1.0,77,24,77,1,49,smooth
8,8,8,0.9068470642522731,71,24,77,1,49,smooth
9,9,9,1.0,78,24,77,1,49,smooth
10,10,8,0.9068470642522731,70,24,77,1,49,smooth
