,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,25,0.758071940954461,53,16,72,0.4,44,rough
1,1,24,1.0,72,16,72,0.4,44,rough
2,2,23,0.9412018846526767,66,16,72,0.4,44,rough
3,3,26,0.5391296525601827,40,16,72,0.4,44,rough
4,4,27,0.36059844904549254,26,16,72,0.4,44,rough
5,5,22,0.9696616606726823,70,16,72,0.4,44,rough
6,6,21,0.7290238090100134,51,16,72,0.4,44,rough
7,7,23,0.9412018846526767,67,16,72,0.4,44,rough
8,8,24,1.0,72,16,72,0.4,44,rough
9,9,25,0.758071940954461,53,16,72,0.4,44,rough
10,10,24,1.0,73,16,72,0.4,44,rough
