,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,11,0.5888925165376502,42,37,73,1,4,smooth
1,1,12,0.4739762790231101,36,37,73,1,4,smooth
2,2,13,0.5035496371463438,37,37,73,1,4,smooth
3,3,14,0.614638199562407,44,37,73,1,4,smooth
4,4,15,0.6869090823390623,50,37,73,1,4,smooth
5,5,16,0.7001322132217902,51,37,73,1,4,smooth
6,6,17,0.7507924219434277,56,37,73,1,4,smooth
7,7,18,0.8498080023590387,63,37,73,1,4,smooth
8,8,17,0.7507924219434277,55,37,73,1,4,smooth
9,9,16,0.7001322132217902,51,37,73,1,4,smooth
10,10,15,0.6869090823390623,48,37,73,1,4,smooth
