,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,25,0.9040468366975831,60,37,67,1,48,rough
1,1,24,0.9112850974406668,62,37,67,1,48,rough
2,2,26,0.9998818439062999,68,37,67,1,48,rough
3,3,27,1.0,68,37,67,1,48,rough
4,4,28,0.5382380896729512,36,37,67,1,48,rough
5,5,23,0.7316097803430913,49,37,67,1,48,rough
6,6,26,0.9998818439062999,67,37,67,1,48,rough
7,7,25,0.9040468366975831,59,37,67,1,48,rough
8,8,24,0.9112850974406668,60,37,67,1,48,rough
9,9,27,1.0,67,37,67,1,48,rough
10,10,26,0.9998818439062999,67,37,67,1,48,rough
