,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,18,0.3112457074204715,17,4,61,0.8,33,smooth
1,1,19,0.5669089072087897,32,4,61,0.8,33,smooth
2,2,20,0.752383702765443,47,4,61,0.8,33,smooth
3,3,21,0.8688362420758847,52,4,61,0.8,33,smooth
4,4,22,0.9578787818179191,60,4,61,0.8,33,smooth
5,5,23,1.0,61,4,61,0.8,33,smooth
6,6,24,0.9410162889103971,57,4,61,0.8,33,smooth
7,7,25,0.787569663734046,48,4,61,0.8,33,smooth
8,8,24,0.9410162889103971,58,4,61,0.8,33,smooth
9,9,23,1.0,62,4,61,0.8,33,smooth
10,10,22,0.9578787818179191,58,4,61,0.8,33,smooth
