,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,7,0.536962438365207,43,14,80,0.4,20,rough
1,1,8,0.44476167646166304,35,14,80,0.4,20,rough
2,2,9,0.6346036384231863,50,14,80,0.4,20,rough
3,3,10,0.6015967713897674,49,14,80,0.4,20,rough
4,4,11,0.4519758847934451,35,14,80,0.4,20,rough
5,5,9,0.6346036384231863,51,14,80,0.4,20,rough
6,6,8,0.44476167646166304,36,14,80,0.4,20,rough
7,7,9,0.6346036384231863,51,14,80,0.4,20,rough
8,8,7,0.536962438365207,43,14,80,0.4,20,rough
9,9,9,0.6346036384231863,51,14,80,0.4,20,rough
10,10,8,0.44476167646166304,37,14,80,0.4,20,rough
