,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,30,0.07028035564159878,4,1,67,0,19,smooth
1,1,29,0.0,0,1,67,0,19,smooth
2,2,28,0.13241878686805494,9,1,67,0,19,smooth
3,3,27,0.4471186908440719,29,1,67,0,19,smooth
4,4,26,0.7834730077799389,52,1,67,0,19,smooth
5,5,25,0.9459541684236629,65,1,67,0,19,smooth
6,6,24,0.9305137307794434,62,1,67,0,19,smooth
7,7,23,0.9165358779785636,61,1,67,0,19,smooth
8,8,22,0.9716152299746291,67,1,67,0,19,smooth
9,9,21,1.0,68,1,67,0,19,smooth
10,10,20,0.9473233282924096,64,1,67,0,19,smooth
