,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,15,0.5627487657911455,44,36,80,1,13,smooth
1,1,16,0.6535110178599335,52,36,80,1,13,smooth
2,2,17,0.8141445974114907,65,36,80,1,13,smooth
3,3,18,0.7818020986867207,62,36,80,1,13,smooth
4,4,19,0.6111441490548915,50,36,80,1,13,smooth
5,5,20,0.5345868420903741,44,36,80,1,13,smooth
6,6,17,0.8141445974114907,64,36,80,1,13,smooth
7,7,16,0.6535110178599335,52,36,80,1,13,smooth
8,8,17,0.8141445974114907,66,36,80,1,13,smooth
9,9,18,0.7818020986867207,62,36,80,1,13,smooth
10,10,17,0.8141445974114907,64,36,80,1,13,smooth
