,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,28,0.07565789298543567,6,25,72,0,56,rough
1,1,27,0.27208613607123777,19,25,72,0,56,rough
2,2,29,0.026946619126845383,2,25,72,0,56,rough
3,3,26,0.2922770041543549,21,25,72,0,56,rough
4,4,25,0.24461970483814635,18,25,72,0,56,rough
5,5,24,0.3021465177909813,23,25,72,0,56,rough
6,6,23,0.28085939054959763,20,25,72,0,56,rough
7,7,22,0.347845536438343,25,25,72,0,56,rough
8,8,21,0.48921812943705667,36,25,72,0,56,rough
9,9,20,0.3292257815965153,24,25,72,0,56,rough
10,10,19,0.33835685957246653,27,25,72,0,56,rough
