,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,10,0.3812546501001692,26,35,66,0,78,smooth
1,1,11,0.18944448938884098,12,35,66,0,78,smooth
2,2,12,0.1969136396249461,12,35,66,0,78,smooth
3,3,9,0.5321925734850401,35,35,66,0,78,smooth
4,4,8,0.5590460607831814,37,35,66,0,78,smooth
5,5,7,0.5469343536002171,35,35,66,0,78,smooth
6,6,6,0.4800337146997511,31,35,66,0,78,smooth
7,7,5,0.33313133632137926,21,35,66,0,78,smooth
8,8,9,0.5321925734850401,36,35,66,0,78,smooth
9,9,8,0.5590460607831814,37,35,66,0,78,smooth
10,10,9,0.5321925734850401,36,35,66,0,78,smooth
