,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,30,0.0,0,19,68,0.4,11,smooth
1,1,29,0.10874238587216563,8,19,68,0.4,11,smooth
2,2,28,0.37128541767129236,25,19,68,0.4,11,smooth
3,3,27,0.5185372681163484,36,19,68,0.4,11,smooth
4,4,26,0.4725878053535909,33,19,68,0.4,11,smooth
5,5,25,0.33415596295319766,23,19,68,0.4,11,smooth
6,6,24,0.20525094446428693,16,19,68,0.4,11,smooth
7,7,23,0.11445927890450941,9,19,68,0.4,11,smooth
8,8,22,0.08066587727086448,4,19,68,0.4,11,smooth
9,9,21,0.10586009638401629,5,19,68,0.4,11,smooth
10,10,20,0.11922644934480219,10,19,68,0.4,11,smooth
