,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,21,0.3941263214020803,30,11,74,0.8,22,smooth
1,1,22,0.17019610729300338,13,11,74,0.8,22,smooth
2,2,23,0.0,2,11,74,0.8,22,smooth
3,3,20,0.5129970642778,37,11,74,0.8,22,smooth
4,4,19,0.5345222037205756,41,11,74,0.8,22,smooth
5,5,18,0.5369527674197859,39,11,74,0.8,22,smooth
6,6,17,0.5208937951364767,37,11,74,0.8,22,smooth
7,7,24,0.028077877822841643,1,11,74,0.8,22,smooth
8,8,25,0.2550248281860953,19,11,74,0.8,22,smooth
9,9,26,0.5942687846225974,44,11,74,0.8,22,smooth
10,10,27,0.8858239349719894,66,11,74,0.8,22,smooth
