,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,20,0.050837115602884037,4,0,60,0,39,smooth
1,1,19,0.16885204124776204,10,0,60,0,39,smooth
2,2,18,0.4199793497051235,26,0,60,0,39,smooth
3,3,17,0.6118417283169145,37,0,60,0,39,smooth
4,4,16,0.6200652170459323,38,0,60,0,39,smooth
5,5,15,0.5643679317568718,34,0,60,0,39,smooth
6,6,14,0.6125632037580412,37,0,60,0,39,smooth
7,7,13,0.7635794406028203,46,0,60,0,39,smooth
8,8,12,0.9181612413089759,53,0,60,0,39,smooth
9,9,11,1.0,59,0,60,0,39,smooth
10,10,10,0.9224195494889865,53,0,60,0,39,smooth
