,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,18,0.3641183425531859,24,15,63,0.2,71,smooth
1,1,17,0.19995225785924178,13,15,63,0.2,71,smooth
2,2,19,0.6530330236618841,40,15,63,0.2,71,smooth
3,3,20,0.883900592049785,55,15,63,0.2,71,smooth
4,4,19,0.6530330236618841,44,15,63,0.2,71,smooth
5,5,21,0.9693273453441724,63,15,63,0.2,71,smooth
6,6,22,0.929753563824119,58,15,63,0.2,71,smooth
7,7,21,0.9693273453441724,62,15,63,0.2,71,smooth
8,8,20,0.883900592049785,55,15,63,0.2,71,smooth
9,9,19,0.6530330236618841,41,15,63,0.2,71,smooth
10,10,21,0.9693273453441724,61,15,63,0.2,71,smooth
