,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,1,0.018928779447066283,2,8,64,0.8,41,smooth
1,1,2,0.0,0,8,64,0.8,41,smooth
2,2,3,0.09683445976732236,4,8,64,0.8,41,smooth
3,3,4,0.24140864802085008,16,8,64,0.8,41,smooth
4,4,5,0.36714124555924,24,8,64,0.8,41,smooth
5,5,6,0.4997156915379242,32,8,64,0.8,41,smooth
6,6,7,0.6691736922988369,43,8,64,0.8,41,smooth
7,7,8,0.8342298616851657,55,8,64,0.8,41,smooth
8,8,9,0.9545863959984454,61,8,64,0.8,41,smooth
9,9,10,1.0,66,8,64,0.8,41,smooth
10,10,11,0.9503491713282913,60,8,64,0.8,41,smooth
