,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,8,0.4501187392193389,28,31,61,0,49,rough
1,1,7,0.6433835320897964,40,31,61,0,49,rough
2,2,6,0.9768013552482585,59,31,61,0,49,rough
3,3,5,1.0,64,31,61,0,49,rough
4,4,4,0.4897322865532834,30,31,61,0,49,rough
5,5,9,0.27163171404823333,17,31,61,0,49,rough
6,6,10,0.0,0,31,61,0,49,rough
7,7,11,0.19493200668874683,12,31,61,0,49,rough
8,8,12,0.47234518795249014,30,31,61,0,49,rough
9,9,13,0.8049388273416341,51,31,61,0,49,rough
10,10,14,0.7064430676403356,44,31,61,0,49,rough
