,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,5,0.3324397984847563,25,17,72,0.4,3,rough
1,1,6,0.1933710075597662,12,17,72,0.4,3,rough
2,2,4,0.21711634521160839,15,17,72,0.4,3,rough
3,3,3,0.5142840903330683,36,17,72,0.4,3,rough
4,4,2,1.0,69,17,72,0.4,3,rough
5,5,1,0.5550054910591494,41,17,72,0.4,3,rough
6,6,2,1.0,73,17,72,0.4,3,rough
7,7,3,0.5142840903330683,37,17,72,0.4,3,rough
8,8,2,1.0,72,17,72,0.4,3,rough
9,9,1,0.5550054910591494,40,17,72,0.4,3,rough
10,10,2,1.0,72,17,72,0.4,3,rough
