,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,23,0.44586253459688163,33,2,78,0.4,6,smooth
1,1,22,0.4881188972560852,37,2,78,0.4,6,smooth
2,2,21,0.2908290382535925,22,2,78,0.4,6,smooth
3,3,24,0.2643643571453962,21,2,78,0.4,6,smooth
4,4,25,0.14290804909148216,9,2,78,0.4,6,smooth
5,5,26,0.16043309882015616,11,2,78,0.4,6,smooth
6,6,27,0.26694977333335435,22,2,78,0.4,6,smooth
7,7,28,0.36844793501629275,28,2,78,0.4,6,smooth
8,8,29,0.3652693076202102,29,2,78,0.4,6,smooth
9,9,30,0.21474851627711783,14,2,78,0.4,6,smooth
10,10,23,0.44586253459688163,35,2,78,0.4,6,smooth
