,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,30,0.39849270189954206,32,33,79,0.4,20,smooth
1,1,29,0.4874818943332892,40,33,79,0.4,20,smooth
2,2,28,0.6192979901943207,50,33,79,0.4,20,smooth
3,3,27,0.7263949022943949,57,33,79,0.4,20,smooth
4,4,26,0.7222878057449496,57,33,79,0.4,20,smooth
5,5,25,0.5976012288064978,48,33,79,0.4,20,smooth
6,6,24,0.42939765783958866,34,33,79,0.4,20,smooth
7,7,23,0.1793276037820016,14,33,79,0.4,20,smooth
8,8,22,0.0,0,33,79,0.4,20,smooth
9,9,21,0.19106854195331338,15,33,79,0.4,20,smooth
10,10,28,0.6192979901943207,49,33,79,0.4,20,smooth
