,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,12,0.1969136396249461,13,35,78,0,2,smooth
1,1,13,0.3681632073339654,29,35,78,0,2,smooth
2,2,14,0.4890150536711405,38,35,78,0,2,smooth
3,3,15,0.5276786515040821,41,35,78,0,2,smooth
4,4,16,0.5642009551199045,45,35,78,0,2,smooth
5,5,17,0.644598264398615,50,35,78,0,2,smooth
6,6,18,0.7525030165275046,58,35,78,0,2,smooth
7,7,19,0.8566402350113845,67,35,78,0,2,smooth
8,8,20,0.9572269343427956,75,35,78,0,2,smooth
9,9,19,0.8566402350113845,67,35,78,0,2,smooth
10,10,20,0.9572269343427956,75,35,78,0,2,smooth
