,trials,x,zs,z_scaled,kernel,globalmax,t,id,environment
0,0,7,0.29561057797421475,19,39,67,0,42,smooth
1,1,8,0.3167226085845242,21,39,67,0,42,smooth
2,2,9,0.36576139550931613,25,39,67,0,42,smooth
3,3,10,0.4205217824270238,28,39,67,0,42,smooth
4,4,11,0.5088855575082933,33,39,67,0,42,smooth
5,5,12,0.671471361237324,45,39,67,0,42,smooth
6,6,13,0.8715265397381311,57,39,67,0,42,smooth
7,7,14,0.9995969600661947,68,39,67,0,42,smooth
8,8,15,1.0,66,39,67,0,42,smooth
9,9,16,0.9190899494872768,62,39,67,0,42,smooth
10,10,17,0.8331842277143972,56,39,67,0,42,smooth
